date,centre_id,crop_id,capacity,bookings,arrivals,quantity,no_show_rate
2024-01-01,1,1,40,29,26,324.942,0.1088
2024-01-02,1,1,40,22,19,217.986,0.1342
2024-01-03,1,1,40,20,18,194.003,0.0913
2024-01-04,1,1,40,24,21,215.224,0.1301
2024-01-05,1,1,40,20,18,135.395,0.1134
2024-01-06,1,1,35,26,23,262.253,0.1103
2024-01-07,1,1,35,7,7,79.12,0.0338
2024-01-08,1,1,40,20,19,192.362,0.0574
2024-01-09,1,1,40,32,30,289.491,0.0761
2024-01-10,1,1,40,16,15,131.83,0.0502
2024-01-11,1,1,40,23,20,289.404,0.1514
2024-01-12,1,1,40,23,21,232.316,0.0915
2024-01-13,1,1,35,18,16,193.37,0.0964
2024-01-14,1,1,35,20,19,192.62,0.0373
2024-01-15,1,1,40,31,28,356.85,0.0948
2024-01-16,1,1,40,22,20,223.039,0.0898
2024-01-17,1,1,40,29,29,252.715,0.0138
2024-01-18,1,1,40,32,29,278.178,0.0783
2024-01-19,1,1,40,18,16,192.123,0.1097
2024-01-20,1,1,35,24,21,275.785,0.127
2024-01-21,1,1,35,21,19,249.992,0.1112
2024-01-22,1,1,40,31,27,314.93,0.1209
2024-01-23,1,1,40,31,29,266.275,0.0764
2024-01-24,1,1,40,25,24,299.365,0.0458
2024-01-25,1,1,40,27,24,224.87,0.1217
2024-01-26,1,1,40,23,22,267.564,0.0571
2024-01-27,1,1,35,22,20,219.651,0.0964
2024-01-28,1,1,35,19,17,187.395,0.1093
2024-01-29,1,1,40,22,20,169.187,0.0928
2024-01-30,1,1,40,25,23,266.934,0.0638
2024-01-31,1,1,40,22,20,211.189,0.0717
2024-02-01,1,1,40,24,22,289.649,0.0917
2024-02-02,1,1,40,24,22,248.747,0.0945
2024-02-03,1,1,35,16,15,187.905,0.0649
2024-02-04,1,1,35,20,17,112.745,0.1252
2024-02-05,1,1,40,21,19,194.18,0.0805
2024-02-06,1,1,40,26,25,285.353,0.0573
2024-02-07,1,1,40,34,31,284.355,0.0889
2024-02-08,1,1,40,25,23,224.395,0.0737
2024-02-09,1,1,40,30,28,275.037,0.0623
2024-02-10,1,1,35,24,22,210.477,0.1015
2024-02-11,1,1,35,31,28,225.947,0.0874
2024-02-12,1,1,40,27,24,214.962,0.0979
2024-02-13,1,1,40,21,19,254.171,0.1023
2024-02-14,1,1,40,28,26,259.548,0.0812
2024-02-15,1,1,40,26,23,292.226,0.1083
2024-02-16,1,1,40,23,21,249.022,0.0881
2024-02-17,1,1,35,24,22,211.298,0.0723
2024-02-18,1,1,35,25,23,235.659,0.0841
2024-02-19,1,1,40,18,16,235.667,0.1056
2024-02-20,1,1,40,31,28,429.34,0.0937
2024-02-21,1,1,40,30,27,324.675,0.1087
2024-02-22,1,1,40,27,25,344.883,0.0775
2024-02-23,1,1,40,24,23,211.26,0.0394
2024-02-24,1,1,35,29,26,321.934,0.0866
2024-02-25,1,1,35,23,20,188.428,0.1175
2024-02-26,1,1,40,31,27,298.671,0.1209
2024-02-27,1,1,40,29,27,300.829,0.0785
2024-02-28,1,1,40,22,20,159.917,0.0713
2024-02-29,1,1,40,27,24,278.192,0.0929
2024-03-01,1,1,40,32,29,327.539,0.0865
2024-03-02,1,1,35,32,30,299.645,0.0696
2024-03-03,1,1,35,25,22,185.959,0.103
2024-03-04,1,1,40,28,26,227.383,0.0878
2024-03-05,1,1,40,32,29,303.157,0.0849
2024-03-06,1,1,40,30,28,337.058,0.0789
2024-03-07,1,1,40,30,29,355.865,0.049
2024-03-08,1,1,40,24,22,180.301,0.1029
2024-03-09,1,1,35,27,26,282.176,0.0347
2024-03-10,1,1,35,22,20,218.018,0.0684
2024-03-11,1,1,40,33,30,170.702,0.0786
2024-03-12,1,1,40,32,29,433.809,0.1055
2024-03-13,1,1,40,29,26,286.746,0.1059
2024-03-14,1,1,40,24,22,223.421,0.0851
2024-03-15,1,1,40,29,26,302.191,0.0946
2024-03-16,1,1,35,25,22,221.376,0.1099
2024-03-17,1,1,35,30,28,320.761,0.0785
2024-03-18,1,1,40,31,28,354.858,0.105
2024-03-19,1,1,40,32,29,316.316,0.1038
2024-03-20,1,1,40,27,24,279.175,0.1246
2024-03-21,1,1,40,40,37,486.719,0.0822
2024-03-22,1,1,40,28,25,295.957,0.1156
2024-03-23,1,1,35,25,22,240.741,0.1187
2024-03-24,1,1,35,25,23,246.864,0.0947
2024-03-25,1,1,40,28,26,235.89,0.0717
2024-03-26,1,1,40,34,32,344.583,0.0539
2024-03-27,1,1,40,22,20,226.285,0.0979
2024-03-28,1,1,40,21,20,229.597,0.0618
2024-03-29,1,1,40,25,23,205.58,0.0753
2024-03-30,1,1,35,21,19,209.7,0.089
2024-03-31,1,1,35,31,27,305.311,0.1328
2024-04-01,1,1,40,31,28,346.574,0.085
2024-04-02,1,1,40,25,23,212.096,0.0888
2024-04-03,1,1,40,30,27,363.712,0.0982
2024-04-04,1,1,40,23,20,196.057,0.1295
2024-04-05,1,1,40,20,17,231.586,0.1535
2024-04-06,1,1,35,22,20,256.809,0.1035
2024-04-07,1,1,35,24,22,219.843,0.0947
2024-04-08,1,1,40,31,28,310.407,0.1013
2024-04-09,1,1,40,35,32,322.376,0.0722
2024-04-10,1,1,40,18,17,220.744,0.0648
2024-04-11,1,1,40,29,25,295.615,0.1419
2024-04-12,1,1,40,31,28,294.585,0.0818
2024-04-13,1,1,35,31,27,258.875,0.1187
2024-04-14,1,1,35,26,22,236.289,0.1388
2024-04-15,1,1,40,37,33,387.236,0.0962
2024-04-16,1,1,40,28,26,269.174,0.0667
2024-04-17,1,1,40,38,34,541.809,0.1076
2024-04-18,1,1,40,27,23,261.739,0.1333
2024-04-19,1,1,40,23,20,227.347,0.1156
2024-04-20,1,1,35,30,27,336.067,0.1007
2024-04-21,1,1,35,21,19,234.013,0.0845
2024-04-22,1,1,40,21,20,197.866,0.0687
2024-04-23,1,1,40,30,28,236.755,0.0661
2024-04-24,1,1,40,34,32,334.119,0.0727
2024-04-25,1,1,40,23,21,235.881,0.0758
2024-04-26,1,1,40,26,24,308.177,0.0695
2024-04-27,1,1,35,40,36,413.959,0.0882
2024-04-28,1,1,35,20,18,240.919,0.1245
2024-04-29,1,1,40,31,27,344.568,0.1297
2024-04-30,1,1,40,23,21,240.41,0.0708
2024-05-01,1,1,40,31,28,292.983,0.0962
2024-05-02,1,1,40,30,27,310.515,0.0995
2024-05-03,1,1,40,31,27,301.89,0.1157
2024-05-04,1,1,35,19,17,212.928,0.1124
2024-05-05,1,1,35,23,21,282.304,0.0755
2024-05-06,1,1,40,35,33,274.465,0.0507
2024-05-07,1,1,40,25,23,254.793,0.0815
2024-05-08,1,1,40,27,24,248.043,0.127
2024-05-09,1,1,40,33,28,262.354,0.1409
2024-05-10,1,1,40,19,18,189.2,0.0744
2024-05-11,1,1,35,22,21,244.952,0.0646
2024-05-12,1,1,35,26,24,244.801,0.0749
2024-05-13,1,1,40,27,25,221.139,0.0568
2024-05-14,1,1,40,20,17,240.099,0.1331
2024-05-15,1,1,40,24,22,218.96,0.0811
2024-05-16,1,1,40,22,20,182.733,0.0779
2024-05-17,1,1,40,23,21,286.47,0.0876
2024-05-18,1,1,35,21,20,211.602,0.0543
2024-05-19,1,1,35,17,15,166.947,0.1219
2024-05-20,1,1,40,32,30,368.566,0.0692
2024-05-21,1,1,40,25,23,295.915,0.0944
2024-05-22,1,1,40,21,19,238.535,0.0837
2024-05-23,1,1,40,22,21,153.189,0.0562
2024-05-24,1,1,40,29,25,364.076,0.1233
2024-05-25,1,1,35,25,22,191.212,0.112
2024-05-26,1,1,35,24,23,232.461,0.053
2024-05-27,1,1,40,34,31,307.196,0.0886
2024-05-28,1,1,40,36,34,288.103,0.0657
2024-05-29,1,1,40,27,24,283.986,0.1192
2024-05-30,1,1,40,19,17,181.672,0.1013
2024-05-31,1,1,40,17,16,135.179,0.0851
2024-06-01,1,1,35,19,17,202.787,0.0871
2024-06-02,1,1,35,31,28,267.95,0.0882
2024-06-03,1,1,40,41,39,423.82,0.0516
2024-06-04,1,1,40,23,22,234.105,0.06
2024-06-05,1,1,40,21,19,226.138,0.0765
2024-06-06,1,1,40,23,22,203.437,0.0299
2024-06-07,1,1,40,22,20,262.594,0.1048
2024-06-08,1,1,35,16,14,177.828,0.0966
2024-06-09,1,1,35,26,24,259.058,0.0686
2024-06-10,1,1,40,23,21,212.666,0.0865
2024-06-11,1,1,40,23,22,203.795,0.0577
2024-06-12,1,1,40,19,18,189.452,0.0594
2024-06-13,1,1,40,30,25,223.486,0.1548
2024-06-14,1,1,40,32,30,309.295,0.0751
2024-06-15,1,1,35,21,19,223.777,0.0896
2024-06-16,1,1,35,26,24,308.314,0.0602
2024-06-17,1,1,40,20,18,195.477,0.1088
2024-06-18,1,1,40,24,23,261.084,0.0513
2024-06-19,1,1,40,19,17,225.213,0.0899
2024-06-20,1,1,40,26,23,227.626,0.1072
2024-06-21,1,1,40,20,18,119.214,0.1016
2024-06-22,1,1,35,18,16,151.344,0.1214
2024-06-23,1,1,35,16,15,138.688,0.0887
2024-06-24,1,1,40,23,20,189.378,0.1202
2024-06-25,1,1,40,28,24,307.483,0.1392
2024-06-26,1,1,40,19,18,202.662,0.0659
2024-06-27,1,1,40,26,24,272.299,0.0767
2024-06-28,1,1,40,19,18,177.098,0.0465
2024-06-29,1,1,35,23,20,285.337,0.1243
2024-06-30,1,1,35,31,30,284.213,0.0301
2024-07-01,1,1,40,27,25,179.937,0.0612
2024-07-02,1,1,40,24,21,183.709,0.1456
2024-07-03,1,1,40,26,24,251.893,0.0896
2024-07-04,1,1,40,24,22,273.108,0.0814
2024-07-05,1,1,40,10,10,100.857,0.0445
2024-07-06,1,1,35,20,18,176.919,0.1187
2024-07-07,1,1,35,20,18,190.474,0.0919
2024-07-08,1,1,40,21,20,184.841,0.0561
2024-07-09,1,1,40,16,13,123.025,0.1706
2024-07-10,1,1,40,16,14,144.237,0.1487
2024-07-11,1,1,40,16,15,183.252,0.0843
2024-07-12,1,1,40,33,28,365.317,0.1593
2024-07-13,1,1,35,16,15,188.194,0.0661
2024-07-14,1,1,35,19,18,146.292,0.0761
2024-07-15,1,1,40,22,19,249.043,0.1491
2024-07-16,1,1,40,24,22,241.888,0.0962
2024-07-17,1,1,40,25,22,255.726,0.1049
2024-07-18,1,1,40,12,11,130.14,0.0729
2024-07-19,1,1,40,21,20,167.698,0.0653
2024-07-20,1,1,35,25,22,236.461,0.105
2024-07-21,1,1,35,8,8,73.361,0.0623
2024-07-22,1,1,40,22,19,201.244,0.1156
2024-07-23,1,1,40,23,22,244.908,0.0602
2024-07-24,1,1,40,16,15,132.689,0.0582
2024-07-25,1,1,40,28,25,226.726,0.1228
2024-07-26,1,1,40,17,16,102.817,0.0601
2024-07-27,1,1,35,15,14,145.598,0.0895
2024-07-28,1,1,35,15,13,128.059,0.1069
2024-07-29,1,1,40,26,24,220.839,0.0723
2024-07-30,1,1,40,19,17,147.393,0.0868
2024-07-31,1,1,40,16,15,182.973,0.0899
2024-08-01,1,1,40,16,15,147.161,0.0755
2024-08-02,1,1,40,24,22,226.885,0.089
2024-08-03,1,1,35,24,22,235.748,0.0941
2024-08-04,1,1,35,19,17,187.435,0.0834
2024-08-05,1,1,40,18,16,172.696,0.088
2024-08-06,1,1,40,26,25,290.747,0.0467
2024-08-07,1,1,40,20,18,248.569,0.1171
2024-08-08,1,1,40,19,17,147.584,0.0893
2024-08-09,1,1,40,19,18,174.671,0.0591
2024-08-10,1,1,35,11,10,73.276,0.0948
2024-08-11,1,1,35,10,9,96.449,0.0852
2024-08-12,1,1,40,28,27,225.624,0.0329
2024-08-13,1,1,40,15,13,110.316,0.1375
2024-08-14,1,1,40,22,20,225.256,0.0957
2024-08-15,1,1,40,15,13,110.917,0.1091
2024-08-16,1,1,40,15,13,137.4,0.1346
2024-08-17,1,1,35,17,15,198.886,0.0977
2024-08-18,1,1,35,18,16,164.397,0.0916
2024-08-19,1,1,40,16,15,190.841,0.0892
2024-08-20,1,1,40,18,17,252.375,0.064
2024-08-21,1,1,40,22,20,241.321,0.0981
2024-08-22,1,1,40,15,14,120.72,0.0752
2024-08-23,1,1,40,17,16,164.742,0.0786
2024-08-24,1,1,35,13,12,128.679,0.0769
2024-08-25,1,1,35,12,11,139.504,0.1151
2024-08-26,1,1,40,28,26,163.014,0.0878
2024-08-27,1,1,40,18,16,162.217,0.1007
2024-08-28,1,1,40,16,14,155.077,0.0973
2024-08-29,1,1,40,18,17,162.665,0.0635
2024-08-30,1,1,40,22,20,255.217,0.0717
2024-08-31,1,1,35,13,12,111.665,0.1131
2024-09-01,1,1,35,15,13,143.169,0.1135
2024-09-02,1,1,40,22,21,200.306,0.066
2024-09-03,1,1,40,18,17,242.15,0.0665
2024-09-04,1,1,40,9,8,88.246,0.0927
2024-09-05,1,1,40,17,15,234.575,0.122
2024-09-06,1,1,40,8,7,97.992,0.1543
2024-09-07,1,1,35,19,17,125.571,0.1193
2024-09-08,1,1,35,13,12,111.869,0.0577
2024-09-09,1,1,40,18,16,136.448,0.1241
2024-09-10,1,1,40,21,19,159.454,0.105
2024-09-11,1,1,40,22,20,249.924,0.0724
2024-09-12,1,1,40,17,15,181.945,0.1361
2024-09-13,1,1,40,20,19,203.815,0.0716
2024-09-14,1,1,35,17,15,204.768,0.1117
2024-09-15,1,1,35,10,9,122.383,0.0542
2024-09-16,1,1,40,18,17,170.322,0.0629
2024-09-17,1,1,40,13,12,124.469,0.0776
2024-09-18,1,1,40,13,12,128.686,0.1085
2024-09-19,1,1,40,8,7,77.583,0.1038
2024-09-20,1,1,40,17,16,158.399,0.0834
2024-09-21,1,1,35,14,12,138.179,0.1154
2024-09-22,1,1,35,16,14,129.514,0.0977
2024-09-23,1,1,40,15,14,120.05,0.0568
2024-09-24,1,1,40,20,18,184.1,0.1046
2024-09-25,1,1,40,14,13,146.589,0.0647
2024-09-26,1,1,40,13,13,123.709,0.0381
2024-09-27,1,1,40,11,10,87.533,0.0685
2024-09-28,1,1,35,13,12,142.574,0.0525
2024-09-29,1,1,35,20,18,205.354,0.0805
2024-09-30,1,1,40,21,19,222.835,0.0917
2024-10-01,1,1,40,24,22,232.644,0.0948
2024-10-02,1,1,40,15,14,145.072,0.0997
2024-10-03,1,1,40,15,14,116.585,0.0804
2024-10-04,1,1,40,9,8,79.84,0.0643
2024-10-05,1,1,35,12,11,89.906,0.0996
2024-10-06,1,1,35,22,20,155.569,0.0832
2024-10-07,1,1,40,17,16,149.609,0.0839
2024-10-08,1,1,40,20,19,180.67,0.0708
2024-10-09,1,1,40,18,17,185.114,0.08
2024-10-10,1,1,40,12,11,81.267,0.1146
2024-10-11,1,1,40,16,14,153.872,0.1414
2024-10-12,1,1,35,16,14,154.911,0.1166
2024-10-13,1,1,35,20,18,235.34,0.0963
2024-10-14,1,1,40,20,18,133.176,0.0791
2024-10-15,1,1,40,15,13,135.204,0.1022
2024-10-16,1,1,40,16,15,143.49,0.0756
2024-10-17,1,1,40,13,12,136.716,0.073
2024-10-18,1,1,40,12,10,98.045,0.1326
2024-10-19,1,1,35,18,17,158.361,0.0543
2024-10-20,1,1,35,17,15,207.087,0.1013
2024-10-21,1,1,40,19,18,213.356,0.0787
2024-10-22,1,1,40,19,17,185.908,0.1077
2024-10-23,1,1,40,25,23,284.628,0.0912
2024-10-24,1,1,40,24,21,237.055,0.1166
2024-10-25,1,1,40,6,6,61.502,0.0789
2024-10-26,1,1,35,13,12,142.526,0.0864
2024-10-27,1,1,35,13,12,152.354,0.1046
2024-10-28,1,1,40,16,15,168.746,0.082
2024-10-29,1,1,40,23,22,277.868,0.0459
2024-10-30,1,1,40,20,18,204.532,0.0984
2024-10-31,1,1,40,18,16,215.898,0.1053
2024-11-01,1,1,40,20,18,225.633,0.0824
2024-11-02,1,1,35,14,12,143.595,0.1315
2024-11-03,1,1,35,19,17,161.443,0.0831
2024-11-04,1,1,40,20,18,223.874,0.1203
2024-11-05,1,1,40,17,16,189.53,0.0838
2024-11-06,1,1,40,19,17,183.684,0.1262
2024-11-07,1,1,40,16,14,148.54,0.1233
2024-11-08,1,1,40,19,17,188.849,0.1261
2024-11-09,1,1,35,23,21,244.186,0.077
2024-11-10,1,1,35,25,22,197.084,0.1208
2024-11-11,1,1,40,30,27,273.77,0.0944
2024-11-12,1,1,40,20,19,240.98,0.0723
2024-11-13,1,1,40,17,15,154.723,0.0884
2024-11-14,1,1,40,17,16,201.104,0.0555
2024-11-15,1,1,40,16,14,119.271,0.1197
2024-11-16,1,1,35,16,14,196.634,0.1367
2024-11-17,1,1,35,15,14,167.357,0.0743
2024-11-18,1,1,40,15,14,147.065,0.0935
2024-11-19,1,1,40,23,20,198.681,0.1157
2024-11-20,1,1,40,18,15,143.006,0.1393
2024-11-21,1,1,40,16,15,153.81,0.0818
2024-11-22,1,1,40,18,16,134.264,0.1187
2024-11-23,1,1,35,22,21,209.394,0.051
2024-11-24,1,1,35,12,11,118.477,0.1053
2024-11-25,1,1,40,21,20,235.787,0.0683
2024-11-26,1,1,40,29,26,300.506,0.1016
2024-11-27,1,1,40,25,22,232.162,0.1289
2024-11-28,1,1,40,19,17,169.186,0.0887
2024-11-29,1,1,40,26,23,204.134,0.1134
2024-11-30,1,1,35,17,15,205.501,0.089
2024-12-01,1,1,35,18,16,175.315,0.1285
2024-12-02,1,1,40,19,17,226.891,0.1132
2024-12-03,1,1,40,18,16,189.554,0.0921
2024-12-04,1,1,40,27,25,239.768,0.0618
2024-12-05,1,1,40,18,17,185.751,0.0654
2024-12-06,1,1,40,17,16,176.209,0.0497
2024-12-07,1,1,35,19,18,191.223,0.0683
2024-12-08,1,1,35,15,13,187.625,0.1223
2024-12-09,1,1,40,24,22,235.849,0.0876
2024-12-10,1,1,40,25,23,205.01,0.075
2024-12-11,1,1,40,19,17,203.383,0.0975
2024-12-12,1,1,40,21,19,233.845,0.1095
2024-12-13,1,1,40,17,15,106.411,0.1201
2024-12-14,1,1,35,17,15,191.738,0.0965
2024-12-15,1,1,35,17,15,163.703,0.0902
2024-12-16,1,1,40,29,27,318.821,0.071
2024-12-17,1,1,40,29,27,278.885,0.07
2024-12-18,1,1,40,16,14,219.529,0.0977
2024-12-19,1,1,40,26,24,364.826,0.0842
2024-12-20,1,1,40,18,17,225.647,0.0726
2024-12-21,1,1,35,24,23,288.106,0.0532
2024-12-22,1,1,35,24,23,279.029,0.0415
2024-12-23,1,1,40,24,22,262.227,0.0798
2024-12-24,1,1,40,22,19,251.794,0.1343
2024-12-25,1,1,40,19,18,157.413,0.0624
2024-12-26,1,1,40,25,25,221.239,0.01
2024-12-27,1,1,40,16,14,171.326,0.1198
2024-12-28,1,1,35,18,17,147.135,0.0488
2024-12-29,1,1,35,22,21,196.526,0.0517
2024-12-30,1,1,40,23,21,309.469,0.0958
2024-12-31,1,1,40,19,17,150.004,0.1028
2025-01-01,1,1,40,19,18,206.661,0.0675
2025-01-02,1,1,40,16,14,156.624,0.0973
2025-01-03,1,1,40,17,15,159.368,0.1013
2025-01-04,1,1,35,17,15,160.615,0.0976
2025-01-05,1,1,35,13,12,101.973,0.1041
2025-01-06,1,1,40,29,26,188.658,0.0922
2025-01-07,1,1,40,20,18,204.635,0.1249
2025-01-08,1,1,40,20,19,178.546,0.0749
2025-01-09,1,1,40,20,17,222.534,0.1271
2025-01-10,1,1,40,28,25,233.346,0.09
2025-01-11,1,1,35,24,22,235.208,0.0693
2025-01-12,1,1,35,18,17,192.575,0.0783
2025-01-13,1,1,40,24,23,325.234,0.0562
2025-01-14,1,1,40,25,22,204.186,0.1358
2025-01-15,1,1,40,17,16,152.473,0.0629
2025-01-16,1,1,40,24,22,246.866,0.0784
2025-01-17,1,1,40,20,18,168.163,0.0984
2025-01-18,1,1,35,30,28,237.145,0.0691
2025-01-19,1,1,35,14,12,99.266,0.1086
2025-01-20,1,1,40,25,23,236.637,0.0709
2025-01-21,1,1,40,25,23,281.753,0.0974
2025-01-22,1,1,40,30,28,254.364,0.0687
2025-01-23,1,1,40,21,19,254.466,0.1086
2025-01-24,1,1,40,28,27,258.945,0.0384
2025-01-25,1,1,35,18,17,153.424,0.0785
2025-01-26,1,1,35,25,23,277.935,0.0665
2025-01-27,1,1,40,30,26,291.128,0.1342
2025-01-28,1,1,40,28,26,329.099,0.0863
2025-01-29,1,1,40,25,22,191.145,0.1223
2025-01-30,1,1,40,26,25,231.876,0.0565
2025-01-31,1,1,40,33,30,310.528,0.0942
2025-02-01,1,1,35,23,21,232.276,0.095
2025-02-02,1,1,35,27,25,181.728,0.0708
2025-02-03,1,1,40,31,29,238.404,0.0721
2025-02-04,1,1,40,38,35,414.076,0.0709
2025-02-05,1,1,40,27,26,233.812,0.0441
2025-02-06,1,1,40,26,24,230.564,0.0855
2025-02-07,1,1,40,23,21,246.156,0.0865
2025-02-08,1,1,35,31,27,424.952,0.1158
2025-02-09,1,1,35,18,16,211.243,0.0911
2025-02-10,1,1,40,31,29,220.945,0.0774
2025-02-11,1,1,40,23,21,259.106,0.078
2025-02-12,1,1,40,19,18,161.753,0.0656
2025-02-13,1,1,40,18,16,208.682,0.0837
2025-02-14,1,1,40,27,24,295.078,0.0956
2025-02-15,1,1,35,38,34,235.144,0.0948
2025-02-16,1,1,35,16,15,142.991,0.0934
2025-02-17,1,1,40,23,21,245.641,0.0783
2025-02-18,1,1,40,37,35,364.98,0.0593
2025-02-19,1,1,40,32,29,428.029,0.1033
2025-02-20,1,1,40,26,24,167.955,0.0637
2025-02-21,1,1,40,24,22,189.031,0.0925
2025-02-22,1,1,35,26,25,272.987,0.0423
2025-02-23,1,1,35,17,16,136.949,0.072
2025-02-24,1,1,40,40,37,331.054,0.0795
2025-02-25,1,1,40,32,28,283.094,0.1128
2025-02-26,1,1,40,26,23,198.379,0.1086
2025-02-27,1,1,40,29,27,248.417,0.0839
2025-02-28,1,1,40,29,27,207.63,0.0618
2025-03-01,1,1,35,27,25,292.189,0.0581
2025-03-02,1,1,35,20,18,118.364,0.1012
2025-03-03,1,1,40,27,24,238.534,0.112
2025-03-04,1,1,40,21,18,246.565,0.1579
2025-03-05,1,1,40,27,25,353.61,0.0671
2025-03-06,1,1,40,42,39,463.553,0.064
2025-03-07,1,1,40,31,27,281.193,0.1216
2025-03-08,1,1,35,27,25,249.022,0.0825
2025-03-09,1,1,35,28,26,333.238,0.0796
2025-03-10,1,1,40,37,32,314.415,0.1282
2025-03-11,1,1,40,27,25,210.005,0.0796
2025-03-12,1,1,40,23,21,216.312,0.1067
2025-03-13,1,1,40,22,20,174.747,0.0936
2025-03-14,1,1,40,38,33,391.955,0.1219
2025-03-15,1,1,35,27,24,312.039,0.1021
2025-03-16,1,1,35,26,24,306.945,0.0738
2025-03-17,1,1,40,38,35,273.568,0.0917
2025-03-18,1,1,40,30,26,256.711,0.1174
2025-03-19,1,1,40,23,21,241.907,0.0766
2025-03-20,1,1,40,26,26,248.663,0.01
2025-03-21,1,1,40,30,28,248.085,0.0667
2025-03-22,1,1,35,24,21,196.091,0.1457
2025-03-23,1,1,35,23,21,254.85,0.0926
2025-03-24,1,1,40,36,33,390.819,0.0867
2025-03-25,1,1,40,25,24,305.875,0.0562
2025-03-26,1,1,40,30,27,349.883,0.1049
2025-03-27,1,1,40,30,27,306.407,0.0853
2025-03-28,1,1,40,17,16,207.048,0.0486
2025-03-29,1,1,35,38,34,368.947,0.1133
2025-03-30,1,1,35,26,23,189.077,0.108
2025-03-31,1,1,40,31,27,398.701,0.1134
2025-04-01,1,1,40,25,22,201.743,0.1113
2025-04-02,1,1,40,30,28,274.574,0.0706
2025-04-03,1,1,40,32,29,282.782,0.0789
2025-04-04,1,1,40,13,12,104.917,0.0812
2025-04-05,1,1,35,26,24,192.479,0.0858
