date,centre_id,crop_id,farmers_ahead,active_counters,recent_avg_service_minutes,hour,interruption_active,wait_minutes
2024-01-01,1,1,5,1,12.4,15.07,0,58.57
2024-01-01,1,1,14,2,16.56,15.4,0,112.45
2024-01-01,1,1,2,3,13.08,13.68,0,6.0
2024-01-01,1,1,1,4,14.69,9.75,0,5.13
2024-01-01,1,1,15,1,15.86,16.71,0,234.67
2024-01-01,1,1,2,2,17.26,12.28,0,19.86
2024-01-01,1,1,27,2,16.09,15.24,0,218.04
2024-01-01,1,1,6,3,15.45,8.07,0,33.42
2024-01-01,1,1,13,3,14.36,13.12,0,68.21
2024-01-01,1,1,12,3,16.94,14.88,0,70.09
2024-01-01,1,1,2,3,16.59,11.93,1,23.01
2024-01-01,1,1,28,4,12.73,10.53,1,106.35
2024-01-01,1,1,3,3,15.32,11.66,0,12.67
2024-01-01,1,1,9,1,14.24,12.16,0,128.18
2024-01-01,1,1,27,1,15.89,11.43,0,428.79
2024-01-01,1,1,17,2,12.11,16.66,0,99.28
2024-01-01,1,1,13,2,17.6,14.45,0,113.57
2024-01-01,1,1,2,1,14.32,9.82,0,29.59
2024-01-01,1,1,15,1,12.11,14.48,0,181.71
2024-01-01,1,1,4,3,14.52,11.74,0,24.8
2024-01-01,1,1,5,2,15.71,13.29,0,35.58
2024-01-01,1,1,28,3,12.25,8.21,0,110.24
2024-01-01,1,1,13,4,16.68,12.42,0,50.24
2024-01-01,1,1,15,2,15.54,12.69,0,115.95
2024-01-01,1,1,10,4,15.31,12.99,0,36.34
2024-01-02,1,1,7,1,14.0,8.34,0,106.52
2024-01-02,1,1,6,4,16.68,16.58,0,24.39
2024-01-02,1,1,19,2,13.69,8.4,0,124.95
2024-01-02,1,1,3,4,18.16,16.04,0,18.84
2024-01-02,1,1,0,4,14.18,8.85,0,0.73
2024-01-02,1,1,0,4,12.26,15.48,0,0.0
2024-01-02,1,1,8,3,12.79,15.0,0,34.08
2024-01-02,1,1,9,1,15.68,9.19,0,132.88
2024-01-02,1,1,6,3,13.31,9.8,0,30.29
2024-01-02,1,1,1,3,15.06,16.35,0,3.71
2024-01-02,1,1,2,2,16.08,10.58,0,15.18
2024-01-02,1,1,13,3,15.35,9.26,0,76.6
2024-01-02,1,1,3,3,13.29,12.21,0,14.56
2024-01-02,1,1,14,1,13.54,10.09,0,185.34
2024-01-02,1,1,20,4,19.42,11.37,0,96.73
2024-01-02,1,1,21,4,12.07,10.13,0,70.69
2024-01-02,1,1,21,1,12.66,9.32,0,261.85
2024-01-02,1,1,20,1,16.55,10.56,0,325.59
2024-01-02,1,1,11,1,14.47,8.48,0,163.19
2024-01-03,1,1,15,4,15.63,10.13,0,64.92
2024-01-03,1,1,18,2,13.47,12.71,0,126.03
2024-01-03,1,1,2,1,15.96,15.59,0,27.48
2024-01-03,1,1,6,4,15.53,15.01,0,22.28
2024-01-03,1,1,6,3,17.94,11.47,0,37.07
2024-01-03,1,1,1,1,11.49,10.09,0,14.94
2024-01-03,1,1,14,2,14.88,10.67,0,106.47
2024-01-03,1,1,17,2,17.35,15.64,0,150.83
2024-01-03,1,1,11,3,15.13,14.61,0,58.62
2024-01-03,1,1,10,4,15.14,8.86,0,40.78
2024-01-03,1,1,10,4,14.87,15.21,0,39.72
2024-01-03,1,1,19,4,12.97,13.31,0,62.87
2024-01-03,1,1,2,3,16.22,12.7,0,12.47
2024-01-03,1,1,10,2,10.87,9.08,0,60.27
2024-01-03,1,1,9,3,16.69,14.04,0,51.01
2024-01-03,1,1,16,4,15.54,10.83,0,63.7
2024-01-03,1,1,1,4,12.88,14.57,0,0.0
2024-01-03,1,1,7,4,16.69,16.88,0,32.57
2024-01-04,1,1,13,1,17.62,10.66,0,225.87
2024-01-04,1,1,0,2,16.05,9.0,0,0.22
2024-01-04,1,1,16,2,15.92,16.99,0,127.9
2024-01-04,1,1,14,1,15.46,10.17,1,228.35
2024-01-04,1,1,19,1,14.21,8.33,0,273.36
2024-01-04,1,1,19,3,12.41,15.64,0,81.58
2024-01-04,1,1,23,4,15.4,15.54,0,85.45
2024-01-04,1,1,2,1,14.8,13.67,0,27.23
2024-01-04,1,1,19,3,13.22,14.39,0,78.22
2024-01-04,1,1,12,1,12.92,15.96,1,182.35
2024-01-04,1,1,8,1,13.93,12.13,0,110.7
2024-01-04,1,1,20,3,15.72,10.71,0,109.09
2024-01-04,1,1,6,3,17.23,12.58,0,42.26
2024-01-04,1,1,3,1,15.14,10.74,0,46.75
2024-01-04,1,1,9,3,15.63,9.96,0,42.41
